output_file,column,unit,description
timeseries_windowed.csv,mean_target_switch_rate_hz,Hz,Média da taxa de troca de alvo na janela.
timeseries_windowed.csv,task_dwell_s,s,Tempo em VOI de tarefa na janela.
timeseries_windowed.csv,tutorial_dwell_s,s,Tempo em tutorial na janela.
timeseries_windowed.csv,support_dwell_s,s,Tempo em suporte genérico na janela.
timeseries_windowed.csv,confusion_frac,fração 0-1,Fração da janela marcada como confusão.
timeseries_windowed.csv,n_rescue_saccades,contagem,Sacadas de socorro iniciadas na janela.
summary_by_activity.csv,item_dwell_s,s,Tempo olhando itens interativos na atividade.
summary_by_activity.csv,machine_dwell_s,s,Tempo olhando máquinas na atividade.
eckert_model.json,model,texto,Modelo de mapeamento luminância->pupila (log/poly2/sigmoid).
eckert_model.json,baseline,mm,Diâmetro pupilar de base do modelo Eckert.
eckert_model.json,k,adimensional,Ganho k do reflexo fotomotor.
eckert_model.json,epsilon,adimensional,Termo de regularização do log (evita log(0)).
eckert_model.json,w_fix,adimensional,"Peso da luminância do alvo fixado vs. fundo (Eckert et al., 2022)."
eckert_model.json,l_background,rel.,Luminância de fundo assumida.
eckert_model.json,plr_lowpass_hz,Hz,Corte do passa-baixa que modela a latência do PLR.
eckert_model.json,rmse_mm,mm,Erro RMS do ajuste (observado vs predito).
eckert_model.json,r2,adimensional,R² do ajuste do modelo.
eckert_model.json,calibrated,booleano,Se usou calibração por participante.
fixations.csv,start_s,s,Início da fixação (algoritmo I-DT sobre a direção do olhar).
fixations.csv,end_s,s,Fim da fixação.
fixations.csv,duration_s,s,Duração da fixação.
fixations.csv,dispersion_deg,graus,Dispersão angular da fixação (amplitude do olhar dentro da janela).
fixations.csv,target,texto,Alvo/AOI predominante durante a fixação.
fixations.csv,category,texto,Categoria do alvo predominante (tutorial/machine/item/support/task).
fixations.csv,activity,texto,Atividade durante a fixação.
fixations.csv,saccade_amplitude_deg,graus,Amplitude angular da sacada até a fixação seguinte.
tutorial_consultations.csv,consultation_start_s,s,Início da consulta ao tutorial (grupo de fixações consolidado por rescue.min_gap_s).
tutorial_consultations.csv,consultation_end_s,s,Fim da consulta ao tutorial.
tutorial_consultations.csv,dwell_s,s,Tempo efetivo fixando o tutorial na consulta (soma das fixações).
tutorial_consultations.csv,n_fixations,contagem,Número de fixações de tutorial que compõem a consulta.
tutorial_consultations.csv,target,texto,Painel de tutorial dominante na consulta (Paper_*/Writebook_*).
tutorial_consultations.csv,activity,texto,Atividade corrente no início da consulta.
tutorial_consultations.csv,nearest_activity,texto,Atividade cujo início está mais próximo da consulta.
tutorial_consultations.csv,nearest_activity_start_s,s,Instante do início de atividade mais próximo (âncora).
tutorial_consultations.csv,offset_s,s,Consulta - início da tarefa. Negativo = antes (antecipatória); positivo = depois (reativa).
tutorial_consultations.csv,timing,texto,"Classificação: 'antes', 'depois' ou 'fora_janela' (além de rescue.window_s do marco)."
dwell_by_target.csv,target,texto,"Nome do alvo (máquina, item ou painel)."
dwell_by_target.csv,category,texto,Categoria do alvo (tutorial/machine/item/support/task).
dwell_by_target.csv,dwell_s,s,Tempo total de fixação acumulado no alvo.
dwell_by_target.csv,n_visits,contagem,Número de visitas distintas ao alvo.
dwell_by_target.csv,dwell_pct,%,dwell_s como % da duração da sessão.
confusion_episodes.csv,mean_transition_entropy_bits,bits,Entropia de transição média no episódio (Krejtz 2015).
confusion_episodes.csv,mean_k_coefficient,z-score,Coeficiente K médio no episódio (negativo = busca ambiente).
confusion_episodes.csv,mean_confusion_score,0-1,Score contínuo médio de confusão no episódio.
data_quality.json,valid_gaze_pct,%,Percentual de frames com gaze válido (IsTracking).
data_quality.json,blink_pct,%,Percentual de frames marcados como piscada.
data_quality.json,valid_pupil_pct,%,Percentual de frames com ambos os diâmetros pupilares válidos.
data_quality.json,n_tracking_gaps,contagem,Número de lacunas de rastreamento (sequências inválidas).
data_quality.json,max_gap_s,s,Maior lacuna contínua de rastreamento.
data_quality.json,total_gap_s,s,Tempo total sem rastreamento válido.
